scientific_name,Bryce National Park,Great Smoky Mountains National Park,Yellowstone National Park,Yosemite National Park
Osmunda regalis var. spectabilis,113,69,252,136
Ostrya,91,71,234,140
Ostrya virginiana,96,80,244,167
Otospermophilus beecheyi,130,89,276,149
Otus asio,110,100,233,169
Otus flammeolus,137,79,283,127
Ovis aries,119,76,221,126
Ovis canadensis,109,48,219,117
Ovis canadensis sierrae,22,25,67,39
Oxalis corniculata,174,164,472,317
Oxalis dillenii,254,180,521,321
Oxalis grandis,87,54,276,146
Oxalis montana,72,47,231,161
Oxalis stricta,114,76,256,147
Oxalis violacea,187,191,507,284
Oxydendrum arboreum,110,96,230,164
Oxypolis occidentalis,121,51,242,142
Oxypolis rigidior,98,100,271,144
Oxyria digyna,90,83,288,150
Oxystegus tenuirostris,128,69,221,149
Oxytropis borealis var. viscida,117,76,217,130
Oxytropis campestris var. cusickii,70,55,235,130
Oxytropis deflexa var. foliolosa,133,83,237,152
Oxytropis deflexa var. sericea,82,47,260,169
Oxytropis lagopus var. lagopus,117,105,214,182
Oxytropis parryi,102,66,221,132
Oxytropis sericea var. speciosa,126,95,275,132
Oxyura jamaicensis,132,64,228,134
Pachysandra procumbens,98,68,213,118
Pachysandra terminalis,146,52,243,127
Packera anonyma,103,110,267,166
Packera aurea,130,71,261,173
Packera cana,66,117,252,167
Packera dimorphophylla var. paysonii,103,60,276,146
Packera obovata,91,64,244,122
Packera paupercula,59,75,242,154
Packera pseudaurea,104,83,257,170
Packera streptanthifolia,114,75,206,171
Packera werneriifolia,93,45,233,159
Paeonia brownii,82,62,263,112
Panax quinquefolius,116,56,259,143
Panax trifolius,50,74,277,96
Pandion haliaetus,154,138,466,282
Panicum anceps,121,89,276,143
Panicum capillare,195,113,510,323
Panicum dichotomiflorum,108,75,239,139
Panicum flexile,99,96,223,156
Panicum gattingeri,82,94,290,172
Panicum miliaceum,194,164,465,335
Panicum philadelphicum,103,84,256,163
Panicum rigidulum,85,82,272,119
Panicum rigidulum var. elongatum,93,70,253,181
Panicum rigidulum var. pubescens,83,85,226,158
Panicum rigidulum var. rigidulum,188,117,531,245
Panicum verrucosum,112,74,216,172
Panicum virgatum,122,51,261,179
Papaver dubium,107,66,243,194
Papaver hybridum,88,82,258,150
Paraleucobryum longifolium,124,74,201,144
Parapholis incurva,127,58,257,148
Parascalops breweri,100,72,256,130
Parastrellus hesperus,93,81,255,149
Parietaria pensylvanica,190,133,473,281
Parnassia asarifolia,117,45,271,138
Parnassia californica,143,59,277,143
Parnassia fimbriata,105,88,236,152
Parnassia glauca,88,70,267,146
Parnassia grandifolia,78,83,211,133
Parnassia kotzebuei,87,67,264,165
Parnassia palustris var. montanensis,81,59,215,131
Parnassia parviflora,69,61,227,116
Paronychia argyrocoma,104,85,282,165
Paronychia canadensis,126,57,254,175
Paronychia fastigiata,91,97,252,120
Paronychia sessiliflora,112,65,290,197
Parthenium integrifolium,73,80,252,137
Parthenocissus quinquefolia,70,96,269,157
Parthenocissus vitacea,115,67,245,156
Parula americana,122,97,262,156
Paspalum boscianum,125,66,241,139
Paspalum dilatatum,134,109,245,168
Paspalum floridanum,104,114,242,166
Paspalum laeve,75,73,239,134
Paspalum pubiflorum var. glabrum,103,69,225,145
Paspalum setaceum,105,47,242,132
Paspalum urvillei,88,85,241,139
Passer domesticus,109,83,267,181
Passerculus sandwichensis,113,67,266,151
Passerella iliaca,209,142,523,315
Passerina amoena,96,41,247,157
Passerina caerulea,66,93,242,163
Passerina cyanea,83,62,245,173
Passiflora incarnata,119,72,289,152
Passiflora lutea,89,71,255,142
Pastinaca sativa,133,130,540,310
Patagioenas fasciata,97,58,232,133
Paulownia tomentosa,99,81,222,168
Pavo cristatus,83,40,248,196
Paxistima myrsinites,135,75,216,139
Pectocarya pusilla,84,84,260,137
Pedicularis attollens,80,82,218,172
Pedicularis bracteosa var. paysoniana,99,115,207,133
Pedicularis canadensis,101,92,234,166
Pedicularis contorta var. contorta,95,84,247,152
Pedicularis cystopteridifolia,100,74,273,171
Pedicularis groenlandica,102,68,255,146
Pedicularis lanceolata,126,99,251,147
Pedicularis semibarbata,86,71,234,151
Pekania pennanti,101,43,255,169
Pelecanus erythrorhynchos,96,93,246,134
Pelecanus occidentalis,92,47,196,122
Pellaea andromedifolia,112,61,258,138
Pellaea atropurpurea,115,53,248,134
Pellaea breweri,115,73,240,132
Pellaea bridgesii,115,72,246,172
Pellaea glabella,87,62,221,174
Peltandra virginica,61,51,219,128
Penstemon aridus,124,90,249,137
Penstemon attenuatus var. pseudoprocerus,84,66,287,125
Penstemon azureus var. angustissimus,70,76,224,150
Penstemon calycosus,73,77,263,134
Penstemon canescens,68,75,256,155
Penstemon cyaneus,100,62,229,150
Penstemon davidsonii var. davidsonii,73,50,255,147
Penstemon deustus,127,111,262,152
Penstemon digitalis,84,80,281,161
Penstemon fruticosus,87,126,223,152
Penstemon heterodoxus,94,78,246,165
Penstemon heterodoxus var. heterodoxus,96,87,236,134
Penstemon heterophyllus var. purdyi,91,76,248,140
Penstemon humilis,72,96,231,181
Penstemon laevigatus,119,49,275,160
Penstemon montanus var. montanus,80,65,216,132
Penstemon procerus,98,67,215,121
Penstemon procerus var. formosus,87,70,276,146
Penstemon radicosus,96,88,265,134
Penstemon roezlii,68,54,251,120
Penstemon rostriflorus,86,72,196,138
Penstemon rydbergii var. oreocharis,99,81,227,153
Penstemon rydbergii var. rydbergii,112,77,246,142
Penstemon smallii,90,95,269,102
Penstemon speciosus,79,53,253,130
Penstemon whippleanus,89,86,251,167
Pentagramma pallida,119,52,210,180
Pentagramma triangularis ssp. triangularis,133,77,255,162
Pentaphylloides floribunda,90,84,280,164
Penthorum sedoides,105,82,241,124
Perca flavescens,106,66,248,88
Percina aurantiaca,95,61,239,143
Percina burtoni,101,87,205,115
Percina caprodes,97,78,228,178
Percina evides,71,93,236,135
Percina squamata,97,58,253,149
Perdix perdix,93,69,300,162
Perideridia bolanderi,71,78,248,145
Perideridia bolanderi ssp. bolanderi,122,80,252,148
Perideridia howellii,76,68,259,126
Perideridia kelloggii,89,75,231,169
Perideridia lemmonii,89,67,247,140
Perideridia parishii ssp. latifolia,85,76,262,153
Perilla frutescens,84,84,258,133
Perisoreus canadensis,108,37,222,165
Peromyscus boylii,102,42,266,157
Peromyscus californicus,101,79,276,133
Peromyscus gossypinus,102,72,261,133
Peromyscus leucopus,73,67,251,148
Peromyscus maniculatus,180,114,437,257
Peromyscus truei,83,85,291,126
Petrochelidon pyrrhonota,220,177,460,321
Phacelia bipinnatifida,114,72,240,154
Phacelia cicutaria var. cicutaria,136,90,269,165
Phacelia congdonii,106,56,230,161
Phacelia dubia var. dubia,100,95,235,138
Phacelia egena,72,73,282,158
Phacelia eisenii,147,76,233,83
Phacelia fimbriata,99,94,257,173
Phacelia franklinii,116,62,260,123
Phacelia hastata var. hastata,134,82,298,172
Phacelia heterophylla ssp. virgata,77,100,264,134
Phacelia humilis var. humilis,106,48,284,121
Phacelia hydrophylloides,109,77,299,143
Phacelia imbricata ssp. imbricata,105,88,261,120
Phacelia linearis,89,74,244,164
Phacelia mutabilis,66,68,251,138
Phacelia platyloba,75,105,239,146
Phacelia purpusii,113,114,301,132
Phacelia purshii,115,59,256,137
Phacelia quickii,155,60,241,154
Phacelia racemosa,134,59,251,170
Phacelia ramosissima,86,79,245,137
Phacelia ramosissima var. latifolia,85,85,224,162
Phacelia ramosissima var. ramosissima,95,69,253,149
Phacelia ramosissima var. subglabra,91,78,252,120
Phacelia tanacetifolia,131,73,235,157
Phacelia vallicola,113,51,265,142
Phaeoceros laevis,93,49,249,120
Phaeoceros laevis ssp. carolinianus,100,52,272,154
Phainopepla nitens,100,26,230,143
Phalacrocorax auritus,61,45,218,117
Phalacroseris bolanderi,83,81,259,138
Phalaenoptilus nuttallii,97,58,231,152
Phalaris arundinacea,167,123,451,277
Phalaropus fulicarius,87,36,245,131
Phalaropus lobatus,110,52,219,161
Phalaropus tricolor,86,101,231,133
Phaseolus polystachios,106,81,230,168
Phasianus colchicus,148,83,226,149
Phegopteris connectilis,150,85,237,135
Phegopteris hexagonoptera,96,75,249,137
Phenacobius catostomus,113,93,259,165
Phenacobius crassilabrum,92,94,243,168
Phenacobius uranops,98,50,250,166
Phenacomys intermedius,70,64,260,167
Pheucticus ludovicianus,119,55,244,171
Pheucticus melanocephalus,114,84,255,164
Philadelphus hirsutus,113,48,287,145
Philadelphus inodorus,136,94,250,133
Philadelphus inodorus var. grandiflorus,97,54,252,145
Philadelphus inodorus var. strigosus,97,99,255,167
Philadelphus lewisii,95,68,223,128
Philadelphus pubescens var. pubescens,73,93,267,151
Philadelphus sharpianus,112,67,241,160
Philomachus pugnax,103,86,244,114
Philonotis fontana,85,56,250,173
Philonotis fontana var. pumila,107,53,252,201
Philonotis longiseta,81,75,278,156
Philonotis marchica,81,81,252,100
Philonotis muehlenbergii,77,69,231,183
Phleum alpinum,112,89,277,156
Phleum pratense,213,171,525,322
Phlox amoena,93,78,246,142
Phlox amplifolia,104,90,218,159
Phlox caespitosa,90,95,225,138
Phlox carolina ssp. alta,108,84,238,152
Phlox condensata,80,81,225,171
Phlox diffusa,112,80,242,170
Phlox divaricata,119,68,248,163
Phlox drummondii,122,55,231,157
Phlox glaberrima ssp. triflora,119,39,237,111
Phlox gracilis,102,95,243,178
Phlox hoodii,98,101,251,135
Phlox latifolia,91,65,258,152
Phlox maculata ssp. pyramidalis,66,73,241,137
Phlox multiflora,93,75,296,157
Phlox ovata,71,41,236,152
Phlox paniculata,99,90,244,120
Phlox pulvinata,97,70,248,171
Phlox speciosa ssp. occidentalis,131,86,239,146
Phlox stolonifera,153,37,247,159
Phlox subulata,87,94,245,119
Phoenicaulis cheiranthoides,71,86,224,144
Pholistoma auritum var. auritum,112,98,287,157
Phoradendron densum,117,88,246,150
Phoradendron juniperinum,87,72,210,153
Phoradendron leucarpum,115,49,239,158
Phoradendron libocedri,94,63,254,166
Phoradendron pauciflorum,123,116,242,136
Phoradendron villosum,56,92,256,115
Photinia floribunda,113,42,254,132
Photinia melanocarpa,104,56,234,138
Photinia pyrifolia,135,68,250,188
Phoxinus oreas,116,74,252,143
Phoxinus tennesseensis,86,92,219,135
Phragmites australis,73,103,227,131
Phryma leptostachya,112,83,291,166
Phrynosoma coronatum,120,93,226,159
Phrynosoma hernandesi,119,39,247,153
Phyla lanceolata,68,73,223,137
Phyllanthus caroliniensis,112,102,246,139
Phyllodoce breweri,67,54,281,153
Phyllodoce empetriformis,134,106,236,189
Physalis angulata,135,86,248,114
Physalis grisea,120,96,254,148
Physalis heterophylla,86,91,252,143
Physalis longifolia var. subglabrata,135,58,232,181
Physalis pruinosa,79,99,242,134
Physalis pubescens var. integrifolia,91,73,241,175
Physalis virginiana,67,82,296,150
Physaria acutifolia var. acutifolia,95,45,229,174
Physaria didymocarpa var. didymocarpa,64,94,244,143
Physcomitrium pyriforme,116,67,224,144
Physocarpus capitatus,112,113,247,156
Physocarpus malvaceus,110,88,280,162
Physocarpus opulifolius,93,93,232,145
Physostegia virginiana,110,75,255,183
Physostegia virginiana ssp. praemorsa,79,99,217,149
Physostegia virginiana ssp. virginiana,98,72,242,137
Phytolacca americana,101,77,260,119
Pica hudsonia,186,97,464,297
Pica nuttalli,128,83,207,117
Picea abies,106,89,280,170
Picea glauca,102,71,283,159
Picea rubens,108,87,259,147
Picoides albolarvatus,86,87,246,116
Picoides borealis,24,15,64,43
Picoides dorsalis,83,62,228,135
Picoides nuttallii,128,74,239,170
Picoides pubescens,79,55,216,144
Picoides villosus,114,70,247,140
Picris hieracioides,88,56,259,173
Pieris floribunda,106,108,271,143
Pilea pumila,95,92,239,169
Pinicola enucleator,82,65,265,149
Pinus,94,85,248,154
Pinus attenuata,103,64,246,155
Pinus contorta ssp. murrayana,116,47,250,144
Pinus contorta var. latifolia,79,84,273,117
Pinus echinata,69,76,274,174
Pinus flexilis,74,96,246,123
Pinus jeffreyi,101,76,273,136
Pinus lambertiana,116,88,244,151
Pinus monophylla,78,108,253,148
Pinus monticola,103,94,229,138
Pinus palustris,101,27,267,126
Pinus ponderosa,126,76,236,122
Pinus pungens,98,86,267,138
Pinus rigida,75,60,258,164
Pinus sabiniana,111,72,212,89
Pinus strobus,129,87,258,203
Pinus taeda,92,62,280,206
Pinus virginiana,92,77,232,159
Piperia colemanii,96,60,226,180
Piperia transversa,135,71,242,167
Piperia unalascensis,48,111,233,133
Pipilo chlorurus,67,62,218,135
Pipilo erythrophthalmus,122,73,258,140
Pipilo maculatus,115,71,245,135
Pipistrellus subflavus,106,85,262,145
Piptatherum exiguum,94,112,265,101
Piptochaetium avenaceum,135,65,285,144
Piranga ludoviciana,99,35,265,162
Piranga olivacea,87,22,261,123
Piranga rubra,51,58,233,141
Pituophis catenifer catenifer,98,53,261,115
Pituophis catenifer sayi,90,73,230,120
Pituophis melanoleucus melanoleucus,66,73,191,140
Pityopsis graminifolia var. graminifolia,74,63,229,149
Pityopsis graminifolia var. latifolia,115,68,227,155
Plagiobothrys hispidulus,99,103,231,170
Plagiobothrys myosotoides,84,116,249,166
Plagiobothrys nothofulvus,116,50,231,157
Plagiobothrys scouleri var. hispidulus,79,80,263,138
Plagiobothrys stipitatus var. micranthus,76,70,263,181
Plagiobothrys torreyi var. diffusus,107,49,210,134
Plagiobothrys torreyi var. torreyi,114,62,231,148
Plagiomnium carolinianum,49,87,234,135
Plagiomnium ciliare,108,93,240,160
Plagiomnium cuspidatum,87,83,252,144
Plagiomnium rostratum,100,87,239,152
Plagiothecium cavifolium,66,87,256,140
Plagiothecium denticulatum,122,33,234,150
Plagiothecium laetum,102,85,273,155
Plantago,124,85,278,166
Plantago aristata,85,83,217,146
Plantago elongata,106,104,225,151
Plantago erecta,70,84,220,153
Plantago eriopoda,102,43,254,148
Plantago lanceolata,256,130,524,255
Plantago major,167,180,511,270
Plantago pusilla,68,47,242,172
Plantago rugelii,108,78,223,111
Plantago tweedyi,89,81,245,103
Plantago virginica,152,56,228,133
Platanthera ciliaris,100,52,279,133
Platanthera clavellata,120,77,306,150
Platanthera dilatata var. albiflora,110,51,268,165
Platanthera dilatata var. dilatata,85,76,257,129
Platanthera flava var. flava,136,85,235,149
Platanthera flava var. herbiola,78,75,218,148
Platanthera grandiflora,87,68,264,157
Platanthera hyperborea,66,98,235,156
Platanthera lacera,100,87,256,138
Platanthera leucostachys,82,66,259,139
Platanthera obtusata,133,116,285,142
Platanthera peramoena,61,78,251,122
Platanthera psycodes,111,76,258,122
Platanthera sparsiflora,89,64,236,141
Platanthera stricta,76,83,245,153
Platanus occidentalis,100,98,235,161
Platycladus orientalis,55,25,274,110
Platydictya confervoides,106,103,242,172
Platygyrium repens,113,68,224,197
Platyhypnidium riparoides,88,66,289,159
Platylomella lescurii,106,92,293,123
Platystemon californicus,76,100,261,135
Plectritis ciliosa ssp. ciliosa,98,81,260,139
Plectrophenax nivalis,117,89,226,139
Plegadis chihi,103,87,255,150
Plegadis falcinellus,72,91,257,181
Pleopeltis polypodioides,94,49,265,160
Pleopeltis polypodioides ssp. michauxiana,94,71,268,132
Plethodon,102,101,250,140
Plethodon aureolus,90,69,276,125
Plethodon cinereus,92,68,260,154
Plethodon dorsalis,102,91,240,150
Plethodon glutinosus,122,78,240,168
Plethodon jordani,89,43,273,134
Plethodon metcalfi,131,95,219,160
Plethodon oconaluftee,106,68,200,127
Plethodon serratus,61,89,279,177
Plethodon ventralis,109,105,244,129
Plethodon websteri,82,63,240,164
Pleuricospora fimbriolata,93,42,237,128
Pleuridium subulatum,110,84,242,141
Pleurozium schreberi,81,121,270,132
Pluchea camphorata,85,76,224,183
Pluvialis dominica,111,54,225,162
Pluvialis squatarola,121,95,244,158
Poa alpina,137,61,243,141
Poa alsodes,104,34,251,139
Poa annua,189,131,495,278
Poa arida,104,36,264,161
Poa autumnalis,59,62,249,162
Poa bolanderi,85,80,261,135
Poa bulbosa,104,83,233,147
Poa chapmaniana,114,61,234,141
Poa compressa,205,160,493,245
Poa cusickii,83,80,229,164
Poa cusickii ssp. cusickii,99,61,290,177
Poa cusickii ssp. epilis,139,75,233,156
Poa cuspidata,79,63,245,144
Poa fendleriana,92,131,251,172
Poa fendleriana ssp. longiligula,112,46,247,159
Poa glauca ssp. rupicola,102,73,233,161
Poa interior,79,100,243,179
Poa keckii,101,81,228,167
Poa leptocoma,90,75,204,178
Poa leptocoma ssp. leptocoma,120,60,239,161
Poa nemoralis,101,85,217,110
Poa paludigena,61,81,249,154
Poa palustris,199,137,482,316
Poa pratensis,154,157,502,293
Poa pratensis ssp. pratensis,101,60,281,177
Poa pringlei,115,64,222,136
Poa reflexa,77,50,249,151
Poa saltuensis,73,69,222,151
Poa secunda,81,90,212,119
Poa stebbinsii,84,56,226,142
Poa sylvestris,118,72,212,115
Poa trivialis,171,161,511,275
Poa wheeleri,114,84,238,170
Podiceps auritus,102,59,247,166
Podiceps grisegena,74,70,260,121
Podiceps nigricollis,164,143,519,328
Podilymbus podiceps,90,73,272,143
Podistera nevadensis,79,83,215,121
Podophyllum peltatum,81,79,228,154
Podostemum ceratophyllum,131,89,230,120
Poecile atricapillus,119,97,241,168
Poecile carolinensis,139,42,291,166
Poecile gambeli,116,53,210,164
Poecile rufescens,101,126,247,123
Pogonatum brachyphyllum,75,48,307,158
Pogonatum pensilvanicum,82,66,253,154
Pogonia ophioglossoides,107,64,280,169
Pohlia annotina,130,84,237,156
Pohlia cruda,92,101,254,152
Pohlia elongata,99,61,239,112
Pohlia lescuriana,104,40,290,150
Pohlia longicolla,72,66,267,138
Pohlia nutans,100,76,267,138
Pohlia wahlenbergii,67,72,242,155
Polemonium californicum,95,77,265,149
Polemonium eximium,105,39,239,102
Polemonium micranthum,89,83,256,148
Polemonium occidentale,104,54,255,143
Polemonium reptans,119,51,312,188
Polemonium viscosum,104,107,217,184
Polioptila caerulea,224,145,503,311
Polycarpon tetraphyllum,79,73,227,173
Polygala alba,93,55,242,154
Polygala ambigua,77,40,241,126
Polygala cruciata,111,74,235,156
Polygala curtissii,107,84,241,141
Polygala paucifolia,91,49,265,177
Polygala polygama,105,96,255,166
Polygala sanguinea,63,69,261,156
Polygala senega var. latifolia,103,66,231,110
Polygala verticillata var. verticillata,93,117,247,140
Polygonatum biflorum,93,70,281,172
Polygonatum biflorum var. biflorum,67,62,273,140
Polygonatum biflorum var. commutatum,112,84,246,190
Polygonatum pubescens,110,67,248,160
Polygonum achoreum,87,59,255,123
Polygonum amphibium var. emersum,157,141,447,333
Polygonum amphibium var. stipulaceum,81,76,220,120
